unit_description,0
DISTRICT 007,429
DISTRICT 008,386
DISTRICT 019,378
DISTRICT 011,376
DISTRICT 012,376
DISTRICT 002,356
DISTRICT 006,353
DISTRICT 005,351
DETECTIVE AREA - CENTRAL,348
DISTRICT 009,346
DISTRICT 004,346
DISTRICT 010,345
DISTRICT 003,341
DISTRICT 018,340
DISTRICT 025,332
DISTRICT 015,322
DISTRICT 001,319
DETECTIVE AREA - NORTH,293
DISTRICT 022,279
DISTRICT 024,265
DETECTIVE AREA - SOUTH,262
DISTRICT 016,257
DISTRICT 020,244
DISTRICT 014,242
DISTRICT 017,235
PUBLIC TRANSPORTATION SECTION,144
AIRPORT LAW ENFORCEMENT SECTION - NORTH,99
EDUCATION AND TRAINING DIVISION,92
BUREAU OF INTERNAL AFFAIRS,79
FORENSIC SERVICES EVIDENCE TECHNICIAN SECTION,76
SPECIAL WEAPONS AND TACTICS (SWAT) UNIT,74
GANG ENFORCEMENT - AREA SOUTH,59
GANG ENFORCEMENT - AREA CENTRAL,53
TRAFFIC SECTION,47
GANG ENFORCEMENT - AREA NORTH,41
FORENSIC SERVICES DIVISION,41
JUVENILE INTERVENTION SUPPORT CENTER (JISC),40
MARINE OPERATIONS UNIT,39
AIRPORT LAW ENFORCEMENT SECTION - SOUTH,34
CANINE UNIT,33
CENTRAL INVESTIGATIONS DIVISION,32
ASSET FORFEITURE INVESTIGATION SECTION,31
CENTRAL DETENTION UNIT,29
MAJOR ACCIDENT INVESTIGATION UNIT,25
MOUNTED UNIT,23
DEPLOYMENT OPERATIONS CENTER,23
INFORMATION SERVICES DIVISION,19
SPECIAL INVESTIGATIONS UNIT,19
HUMAN RESOURCES DIVISION,17
EVIDENCE AND RECOVERED PROPERTY SECTION,17
FIELD SERVICES SECTION,16
GANG ENFORCEMENT DIVISION,15
BOMB SQUAD,13
BUREAU OF  DETECTIVES,12
ARSON SECTION,11
BUREAU OF PATROL,11
INSPECTION DIVISION,11
SPECIAL ACTIVITIES SECTION,11
TRANSIT SECURITY UNIT,9
RESEARCH AND DEVELOPMENT DIVISION,8
SPECIAL FUNCTIONS DIVISION,8
ALTERNATE RESPONSE SECTION,7
YOUTH INVESTIGATION DIVISION,7
EXECUTIVE OFFICERS UNIT,7
DETACHED SERVICES - MISCELLANEOUS DETAIL,7
BOMB AND ARSON DIVISION,7
BUREAU OF ORGANIZED CRIME,7
LEGAL AFFAIRS SECTION,6
OFFICE OF THE FIRST DEPUTY SUPERINTENDENT,6
COURT SECTION,5
FOP DETAIL,5
CRIME CONTROL STRATEGIES SECTION,4
OFFICE OF NEWS AFFAIRS,4
BUREAU OF SUPPORT SERVICES,3
POLICE DOCUMENTS SECTION,3
BUREAU OF PATROL - AREA SOUTH,3
MANAGEMENT AND LABOR AFFAIRS SECTION,3
REPRODUCTION AND GRAPHIC ARTS SECTION,2
SPECIAL EVENTS UNIT,2
BUREAU OF PATROL - AREA CENTRAL,2
DETAIL UNIT,2
PROFESSIONAL COUNSELING DIVISION,2
MEDICAL SECTION,2
DISTRICT REINSTATEMENT UNIT,2
BUREAU OF PATROL - AREA NORTH,1
RECORDS INQUIRY SECTION,1
OFFICE OF THE SUPERINTENDENT,1
SPECIAL FUNCTIONS SUPPORT UNIT,1
COMMUNITY RELATIONS DIVISION,1
TECHNOLOGY AND RECORDS GROUP,1
TRAFFIC COURT UNIT,1
DEPUTY CHIEF - AREA 4,1
TROUBLED BUILDING UNIT,1
GENERAL SUPPORT DIVISION,1
