unit_description,altercation_2014,civ_complaint_all,dept_complaint_all,count
DETECTIVE AREA - CENTRAL,FALSE,TRUE,TRUE,257
DISTRICT 002,FALSE,TRUE,TRUE,245
DISTRICT 012,FALSE,TRUE,TRUE,238
DISTRICT 008,FALSE,TRUE,TRUE,223
DETECTIVE AREA - SOUTH,FALSE,TRUE,TRUE,215
DETECTIVE AREA - NORTH,FALSE,TRUE,TRUE,213
DISTRICT 009,FALSE,TRUE,TRUE,209
DISTRICT 019,FALSE,TRUE,TRUE,208
DISTRICT 018,FALSE,TRUE,TRUE,208
DISTRICT 007,FALSE,TRUE,TRUE,204
DISTRICT 004,FALSE,TRUE,TRUE,200
DISTRICT 001,FALSE,TRUE,TRUE,190
DISTRICT 005,FALSE,TRUE,TRUE,188
DISTRICT 022,FALSE,TRUE,TRUE,188
DISTRICT 006,FALSE,TRUE,TRUE,181
DISTRICT 025,FALSE,TRUE,TRUE,166
DISTRICT 016,FALSE,TRUE,TRUE,164
DISTRICT 003,FALSE,TRUE,TRUE,163
DISTRICT 010,FALSE,TRUE,TRUE,153
DISTRICT 011,FALSE,TRUE,TRUE,149
DISTRICT 024,FALSE,TRUE,TRUE,149
DISTRICT 020,FALSE,TRUE,TRUE,146
DISTRICT 014,FALSE,TRUE,TRUE,141
DISTRICT 015,FALSE,TRUE,TRUE,139
DISTRICT 017,FALSE,TRUE,TRUE,137
DISTRICT 007,TRUE,TRUE,TRUE,131
DISTRICT 011,TRUE,TRUE,TRUE,129
DISTRICT 008,TRUE,TRUE,TRUE,115
DISTRICT 010,TRUE,TRUE,TRUE,110
DISTRICT 019,TRUE,TRUE,TRUE,106
DISTRICT 006,TRUE,TRUE,TRUE,105
PUBLIC TRANSPORTATION SECTION,FALSE,TRUE,TRUE,105
DISTRICT 025,TRUE,TRUE,TRUE,101
DISTRICT 018,TRUE,TRUE,TRUE,91
DISTRICT 009,TRUE,TRUE,TRUE,90
DISTRICT 005,TRUE,TRUE,TRUE,90
DISTRICT 015,TRUE,TRUE,TRUE,86
DISTRICT 004,TRUE,TRUE,TRUE,85
DISTRICT 003,TRUE,TRUE,TRUE,83
DISTRICT 001,TRUE,TRUE,TRUE,78
AIRPORT LAW ENFORCEMENT SECTION - NORTH,FALSE,TRUE,TRUE,72
DISTRICT 012,TRUE,TRUE,TRUE,71
DISTRICT 022,TRUE,TRUE,TRUE,70
DISTRICT 016,TRUE,TRUE,TRUE,68
EDUCATION AND TRAINING DIVISION,FALSE,TRUE,TRUE,65
DISTRICT 017,TRUE,TRUE,TRUE,64
BUREAU OF INTERNAL AFFAIRS,FALSE,TRUE,TRUE,64
DISTRICT 014,TRUE,TRUE,TRUE,64
DISTRICT 024,TRUE,TRUE,TRUE,61
DISTRICT 020,TRUE,TRUE,TRUE,57
DISTRICT 002,TRUE,TRUE,TRUE,51
SPECIAL WEAPONS AND TACTICS (SWAT) UNIT,FALSE,TRUE,TRUE,51
FORENSIC SERVICES EVIDENCE TECHNICIAN SECTION,FALSE,TRUE,TRUE,51
DETECTIVE AREA - CENTRAL,TRUE,TRUE,TRUE,48
TRAFFIC SECTION,FALSE,TRUE,TRUE,45
DISTRICT 011,TRUE,TRUE,FALSE,36
GANG ENFORCEMENT - AREA SOUTH,FALSE,TRUE,TRUE,35
FORENSIC SERVICES DIVISION,FALSE,TRUE,TRUE,34
DISTRICT 015,FALSE,TRUE,FALSE,34
DISTRICT 003,FALSE,FALSE,TRUE,33
DETECTIVE AREA - NORTH,FALSE,TRUE,FALSE,33
DISTRICT 015,TRUE,TRUE,FALSE,33
DISTRICT 007,FALSE,TRUE,FALSE,32
DISTRICT 010,FALSE,TRUE,FALSE,32
PUBLIC TRANSPORTATION SECTION,TRUE,TRUE,TRUE,32
MARINE OPERATIONS UNIT,FALSE,TRUE,TRUE,31
DISTRICT 006,TRUE,TRUE,FALSE,30
DISTRICT 011,FALSE,TRUE,FALSE,30
JUVENILE INTERVENTION SUPPORT CENTER (JISC),FALSE,TRUE,TRUE,30
AIRPORT LAW ENFORCEMENT SECTION - SOUTH,FALSE,TRUE,TRUE,29
DISTRICT 019,FALSE,TRUE,FALSE,29
DISTRICT 003,FALSE,TRUE,FALSE,29
DETECTIVE AREA - NORTH,TRUE,TRUE,TRUE,29
DETECTIVE AREA - SOUTH,TRUE,TRUE,TRUE,28
