age,birth_year,cr_id,cv,gender,race
24.0,,1000551,2,MALE,BLACK
51.0,,1000861,2,FEMALE,BLACK
,,1001509,2,MALE,WHITE
,,1001880,2,FEMALE,BLACK
,,1003246,2,MALE,HISPANIC
,,1003246,2,MALE,WHITE
43.0,,1003439,2,MALE,HISPANIC
57.0,,1003691,2,MALE,BLACK
,,1005061,2,MALE,BLACK
,,1005061,2,FEMALE,HISPANIC
,,1005061,2,MALE,HISPANIC
,,1005061,2,MALE,HISPANIC
,,1005061,2,FEMALE,HISPANIC
,,1006290,2,MALE,BLACK
83.0,,1006306,2,FEMALE,WHITE
54.0,,1008102,2,MALE,BLACK
94.0,,1008399,2,MALE,HISPANIC
93.0,,1008399,2,FEMALE,HISPANIC
56.0,,1009198,2,MALE,HISPANIC
,,1009408,2,MALE,
55.0,,1010625,2,MALE,WHITE
61.0,,1010625,2,MALE,WHITE
44.0,,1010643,2,FEMALE,HISPANIC
,,1011377,2,MALE,WHITE
,,1012667,2,MALE,WHITE
,,1012803,2,,
37.0,,1013248,2,MALE,BLACK
28.0,,1013248,2,MALE,BLACK
,,1017702,2,,
86.0,,1018653,2,MALE,HISPANIC
75.0,,1018990,2,MALE,WHITE
63.0,,1018990,2,FEMALE,WHITE
62.0,,1019308,2,MALE,BLACK
,,1019780,2,MALE,HISPANIC
25.0,,1021050,2,FEMALE,BLACK
25.0,,1021884,2,FEMALE,BLACK
,,1021915,2,MALE,WHITE
,,1021966,2,MALE,HISPANIC
22.0,,1022887,2,MALE,HISPANIC
31.0,,1022896,2,FEMALE,BLACK
,,1022966,2,MALE,BLACK
,,1022979,2,FEMALE,BLACK
30.0,,1023265,2,MALE,BLACK
,,1023429,2,FEMALE,ASIAN/PACIFIC ISLANDER
37.0,,1023537,2,MALE,HISPANIC
37.0,,1024061,2,MALE,BLACK
40.0,,1024103,2,MALE,BLACK
41.0,,1024103,2,FEMALE,BLACK
37.0,,1024246,2,MALE,BLACK
,,1024843,2,FEMALE,BLACK
46.0,,1025153,2,MALE,BLACK
40.0,,1025592,2,FEMALE,BLACK
65.0,,1026517,2,MALE,WHITE
34.0,,1026571,2,MALE,BLACK
55.0,,1026690,2,MALE,WHITE
,,1026861,2,FEMALE,BLACK
,,1027149,2,FEMALE,BLACK
,,1027156,2,FEMALE,BLACK
28.0,,1027182,2,MALE,BLACK
56.0,,1027572,2,MALE,BLACK
,,1027626,2,FEMALE,BLACK
,,1028896,2,FEMALE,BLACK
,,1030053,2,MALE,HISPANIC
,,1030325,2,FEMALE,BLACK
64.0,,1031206,2,FEMALE,WHITE
53.0,,1032657,2,MALE,BLACK
42.0,,1033151,2,FEMALE,BLACK
47.0,,1033151,2,FEMALE,BLACK
38.0,,1033157,2,MALE,HISPANIC
54.0,,1033444,2,FEMALE,HISPANIC
45.0,,1033604,2,FEMALE,HISPANIC
,,1035742,2,FEMALE,BLACK
22.0,,1036168,2,FEMALE,ASIAN/PACIFIC ISLANDER
86.0,,1036548,2,MALE,BLACK
28.0,,1036549,2,MALE,HISPANIC
,,1036551,2,FEMALE,BLACK
,,1036553,2,FEMALE,
50.0,,1036555,2,FEMALE,BLACK
28.0,,1036556,2,MALE,BLACK
24.0,,1038797,2,FEMALE,BLACK
23.0,,1038797,2,FEMALE,BLACK
41.0,,1040734,2,MALE,HISPANIC
38.0,,1040734,2,MALE,HISPANIC
,,1040869,2,FEMALE,HISPANIC
59.0,,1041614,2,FEMALE,BLACK
25.0,,1045015,2,FEMALE,BLACK
27.0,,1045370,2,FEMALE,BLACK
40.0,,1046157,2,FEMALE,BLACK
34.0,,1047605,2,MALE,BLACK
5.0,,1048924,2,MALE,BLACK
40.0,,1049899,2,FEMALE,BLACK
56.0,,1051952,2,FEMALE,ASIAN/PACIFIC ISLANDER
43.0,,1051952,2,MALE,HISPANIC
28.0,,1051952,2,MALE,BLACK
57.0,,1051952,2,FEMALE,BLACK
30.0,,1051952,2,MALE,HISPANIC
64.0,,1051952,2,MALE,BLACK
23.0,,1052178,2,MALE,BLACK
,,1052178,2,MALE,BLACK
30.0,,1052182,2,MALE,HISPANIC
,,1052197,2,MALE,BLACK
41.0,,1052201,2,MALE,BLACK
,,1052530,2,FEMALE,BLACK
,,1052530,2,FEMALE,BLACK
,,1053167,2,MALE,BLACK
21.0,,1055227,2,FEMALE,WHITE
33.0,,1055840,2,MALE,BLACK
,,1057332,2,FEMALE,BLACK
,,1057332,2,MALE,BLACK
24.0,,1057595,2,FEMALE,WHITE
45.0,,1057612,2,FEMALE,HISPANIC
37.0,,1057612,2,FEMALE,WHITE
55.0,,1060861,2,FEMALE,WHITE
21.0,,1061125,2,FEMALE,BLACK
,,1061885,2,,
41.0,,1062020,2,FEMALE,BLACK
30.0,,1065005,2,FEMALE,BLACK
,,1066455,2,FEMALE,
,,1067003,2,FEMALE,WHITE
,,1068115,2,MALE,WHITE
53.0,,1068905,2,MALE,HISPANIC
,,1069254,2,FEMALE,
24.0,,1070540,2,MALE,BLACK
44.0,,1070546,2,MALE,WHITE
24.0,,1071283,2,MALE,BLACK
33.0,,1071755,2,FEMALE,HISPANIC
52.0,,1072333,2,FEMALE,HISPANIC
,,1073101,2,MALE,BLACK
,,1073486,2,MALE,BLACK
67.0,,1074460,2,FEMALE,BLACK
24.0,,1074463,2,MALE,BLACK
45.0,,1074474,2,MALE,WHITE
24.0,,1074476,2,MALE,BLACK
32.0,,1074478,2,MALE,BLACK
,,1075182,2,MALE,WHITE
38.0,,1077150,2,MALE,BLACK
48.0,,1077150,2,MALE,BLACK
15.0,,1077217,2,FEMALE,BLACK
7.0,,1077575,2,FEMALE,WHITE
45.0,,1077902,2,FEMALE,BLACK
58.0,,1078366,2,FEMALE,
,,1078367,2,MALE,BLACK
41.0,,1078367,2,MALE,BLACK
48.0,,1078666,2,MALE,BLACK
,,1078958,2,MALE,BLACK
,,1078961,2,MALE,
27.0,,1080517,2,MALE,BLACK
40.0,,10077725,2,FEMALE,WHITE
,1962.0,1010785,3,MALE,BLACK
,1983.0,1010797,3,MALE,HISPANIC
,1952.0,1010794,3,MALE,WHITE
,1985.0,1010795,3,MALE,BLACK
,1958.0,1010796,3,MALE,HISPANIC
,1976.0,1010801,3,MALE,HISPANIC
,1984.0,1010798,3,MALE,BLACK
,1972.0,1010800,3,MALE,BLACK
,1992.0,1009909,3,MALE,WHITE
,1961.0,1010803,3,FEMALE,BLACK
