unit_description,altercation,civ_complaint,dept_complaint,0
DISTRICT 011,True,True,True,140
DISTRICT 007,True,True,True,136
DISTRICT 008,True,True,True,126
DISTRICT 019,True,True,True,118
DISTRICT 010,True,True,True,115
DISTRICT 006,True,True,True,113
DISTRICT 025,True,True,True,108
DISTRICT 018,True,True,True,101
DISTRICT 009,True,True,True,94
DISTRICT 005,True,True,True,93
DISTRICT 003,True,True,True,91
DISTRICT 004,True,True,True,91
DISTRICT 001,True,True,True,90
DISTRICT 015,True,True,True,89
DISTRICT 016,True,True,True,76
DISTRICT 022,True,True,True,73
DISTRICT 012,True,True,True,72
DISTRICT 017,True,True,True,67
DISTRICT 014,True,True,True,67
DISTRICT 024,True,True,True,62
DISTRICT 020,True,True,True,61
DISTRICT 002,True,True,True,59
DETECTIVE AREA - CENTRAL,True,True,True,48
PUBLIC TRANSPORTATION SECTION,True,True,True,36
DISTRICT 011,True,True,False,36
DISTRICT 015,True,True,False,34
DISTRICT 006,True,True,False,31
DETECTIVE AREA - SOUTH,True,True,True,29
DETECTIVE AREA - NORTH,True,True,True,29
DISTRICT 007,True,True,False,28
GANG ENFORCEMENT - AREA CENTRAL,True,True,True,25
DISTRICT 004,True,True,False,23
DISTRICT 025,True,True,False,23
DISTRICT 003,True,True,False,23
DISTRICT 010,True,True,False,22
GANG ENFORCEMENT - AREA SOUTH,True,True,True,21
GANG ENFORCEMENT - AREA NORTH,True,True,True,20
DISTRICT 024,True,True,False,18
DISTRICT 005,True,True,False,17
DISTRICT 015,True,False,True,17
DISTRICT 009,True,True,False,16
AIRPORT LAW ENFORCEMENT SECTION - NORTH,True,True,True,16
SPECIAL WEAPONS AND TACTICS (SWAT) UNIT,True,True,True,14
DISTRICT 007,True,False,True,14
DISTRICT 019,True,True,False,14
FORENSIC SERVICES EVIDENCE TECHNICIAN SECTION,True,True,True,13
DISTRICT 008,True,True,False,12
DISTRICT 011,True,False,True,12
DISTRICT 003,True,False,True,12
DETECTIVE AREA - CENTRAL,True,True,False,11
DISTRICT 025,True,False,True,11
DISTRICT 012,True,True,False,10
DISTRICT 001,True,True,False,9
DISTRICT 014,True,True,False,8
DISTRICT 002,True,True,False,8
CENTRAL DETENTION UNIT,True,True,True,8
DISTRICT 017,True,True,False,7
DETECTIVE AREA - NORTH,True,True,False,7
DISTRICT 006,True,False,True,7
DISTRICT 005,True,False,True,7
DISTRICT 019,True,False,True,6
DISTRICT 010,True,False,True,6
DISTRICT 004,True,False,True,6
DISTRICT 016,True,True,False,6
DISTRICT 018,True,True,False,5
DISTRICT 002,True,False,True,5
EDUCATION AND TRAINING DIVISION,True,True,True,5
AIRPORT LAW ENFORCEMENT SECTION - SOUTH,True,True,True,5
NARCOTICS DIVISION,True,True,True,4
CANINE UNIT,True,True,True,4
BUREAU OF INTERNAL AFFAIRS,True,True,True,4
DISTRICT 020,True,True,False,4
GANG ENFORCEMENT - AREA NORTH,True,True,False,4
DISTRICT 012,True,False,True,4
GANG ENFORCEMENT DIVISION,True,True,True,4
DISTRICT 022,True,False,True,3
JUVENILE INTERVENTION SUPPORT CENTER (JISC),True,True,True,3
CENTRAL INVESTIGATIONS DIVISION,True,True,True,3
DISTRICT 018,True,False,True,3
DISTRICT 001,True,False,True,3
DISTRICT 009,True,False,True,3
GANG ENFORCEMENT - AREA CENTRAL,True,True,False,3
MARINE OPERATIONS UNIT,True,True,True,2
MOUNTED UNIT,True,True,True,2
INFORMATION SERVICES DIVISION,True,True,True,2
GANG ENFORCEMENT - AREA SOUTH,True,True,False,2
SPECIAL WEAPONS AND TACTICS (SWAT) UNIT,True,True,False,2
AIRPORT LAW ENFORCEMENT SECTION - NORTH,True,True,False,2
DETECTIVE AREA - CENTRAL,True,False,True,2
DETECTIVE AREA - NORTH,True,False,True,2
DISTRICT 022,True,True,False,2
DISTRICT 020,True,False,True,2
DISTRICT 017,True,False,True,2
DISTRICT 008,True,False,True,2
EXECUTIVE OFFICERS UNIT,True,True,True,2
DETECTIVE AREA - SOUTH,True,True,False,2
RECRUIT TRAINING SECTION,True,True,False,1
SPECIAL FUNCTIONS DIVISION,True,True,True,1
SPECIAL INVESTIGATIONS UNIT,True,True,True,1
ARSON SECTION,True,True,True,1
BOMB SQUAD,True,True,True,1
BUREAU OF PATROL,True,True,True,1
TRAFFIC SECTION,True,True,True,1
TRANSIT SECURITY UNIT,True,True,True,1
RECRUIT TRAINING SECTION,True,False,True,1
FORENSIC SERVICES EVIDENCE TECHNICIAN SECTION,True,True,False,1
CANINE UNIT,True,True,False,1
CTA SECURITY UNIT,True,True,True,1
MEDICAL SECTION,True,False,True,1
MARINE OPERATIONS UNIT,True,True,False,1
INSPECTION DIVISION,True,True,False,1
INFORMATION SERVICES DIVISION,True,True,False,1
DISTRICT 014,True,False,True,1
EVIDENCE AND RECOVERED PROPERTY SECTION,True,True,True,1
VICE & ASSET FORFEITURE DIVISION,True,True,True,1
